iter	Passed	Remaining
0	15	5920
1	27	5075
2	39	4886
3	50	4640
4	58	4353
5	69	4272
6	80	4227
7	92	4231
8	102	414099	112	4085110	122	4050111	132	3995112	144	4000113	155	4008114	165	3967115	176	3954116	186	3920117	195	3875118	206	3853119	216	3832220	227	3825221	238	3823222	250	3820223	260	3805224	272	3803225	282	3775226	291	3747227	302	3733228	312	371929	326	3741
30	337	3732
31	347	3717
32	358	3704
333	367	367434	379	3675
335	388	3651336	400	364737	414	3660
38	425	3654
39	438	3665
40	449	3650
41	460	3643
42	471	3631
43	482	3617
444	491	3592445	502	3585446	515	3584447	526	3572448	537	3566449	548	3553550	558	3536551	568	3520552	577	3499553	586	347454	599	3475
55	608	3457
56	620	3448
557	629	342758	641	3425
59	651	3411
60	663	3404
61	674	3392
62	684	3376
63	694	3365
664	702	3340665	713	3329666	722	3312667	732	329668	746	3301
69	755	3282
70	766	3272
71	777	3260
72	788	3251
73	798	3236
74	810	3229
75	820	3216
76	833	3213
77	843	3202
78	857	3201
79	868	3192
80	878	3176
81	887	3160
82	897	3147
83	908	3135
84	918	3123
85	929	3112
86	940	3102
87	950	3088
888	958	3069889	969	3060990	981	3051991	994	3047992	1005	3038993	1016	3026994	1026	3015995	1038	3007996	1048	2995997	1059	2984998	1070	2973999	1080	29601100	1091	29511101	1103	29431102	1113	29301103	1125	29211104	1136	2912
105	1146	2899
106	1157	28891107	1169	28801108	1179	28681109	1189	28551110	1201	2846
111	1212	2836
112	1221	2822
113	1231	2809
114	1242	27971115	1254	27901116	1269	2788
117	1279	2776
118	1291	2768
119	1303	2759
120	1314	2748
121	1324	2736
122	1335	27251123	1346	2714
124	1357	2703
125	1368	2693
126	1380	2685
127	1393	2678
128	1404	2668
129	1415	2656
130	1427	2647
131	1437	2636
132	1448	2625
133	1460	2616
134	1472	2606
135	1483	2596
136	1495	2586
137	1506	2575
138	1516	2564
139	1527	2552
140	1536	2539
141	1548	2529
142	1559	2519
143	1569	2507
144	1580	2495
145	1590	2483
146	1603	2475
147	1615	2467
148	1629	2460
149	1644	2456
150	1657	2447
151	1668	2436
152	1680	2427
153	1692	2417
154	1703	2406
155	1716	2398
156	1728	2389
157	1739	2378
158	1754	2372
159	1765	2361
160	1778	2352
161	1788	2341
162	1800	2330
163	1812	2320
164	1823	2310
165	1835	2299
166	1847	2290
167	1858	2279
168	1871	2270
169	1882	2259
170	1894	2249
171	1905	2237
172	1918	2229
173	1929	2218
174	1943	2210
175	1957	2201
176	1970	2193
177	1984	2185
178	1995	2174
179	2008	2165
180	2022	2156
181	2035	2147
182	2048	2137
183	2060	2127
184	2073	2118
185	2085	2107
186	2096	2096
187	2110	2087
188	2122	2077
189	2132	2065
190	2144	2054
191	2153	2041
192	2163	2029
193	2172	2015
194	2182	2003
195	2194	1992
196	2202	1979
197	2212	1966
198	2223	1955
199	2234	1943
200	2244	1931
201	2256	1921
202	2267	1910
203	2278	1899
204	2288	1886
205	2298	1874
206	2308	1862
207	2318	1850
208	2330	1839
209	2338	1826
210	2349	1815
211	2360	1803
212	2370	1791
213	2380	1779
214	2391	1768
215	2401	1756
216	2413	1745
217	2423	1734
218	2434	1723
219	2447	1713
220	2458	1702
221	2468	1690
222	2481	1680
223	2491	1668
224	2501	1656
225	2512	1645
226	2523	1633
227	2532	1621
228	2542	1610
229	2553	1598
230	2564	1587
231	2575	1576
232	2585	1564
233	2595	1552
234	2606	1541
235	2615	1529
236	2627	1518
237	2636	1506
238	2648	1495
239	2659	1484
240	2670	1473
241	2680	1462
242	2690	1450
243	2699	1438
244	2709	1426
245	2720	1415
246	2731	1404
247	2742	1393
248	2752	1381
249	2763	1370
250	2773	1359
251	2783	1347
252	2793	1335
253	2804	13242254	2814	13132255	2825	13022256	2835	12902257	2845	12792258	2856	12682259	2865	12562260	2876	12452261	2887	12342262	2899	12232263	2910	12122264	2920	12012265	2931	11902266	2944	11802267	2957	11692268	2970	11592269	2983	1149
270	2995	1138
271	3005	1127
272	3015	1115
273	3025	1104
274	3035	1092
275	3046	1081
276	3057	1070
277	3068	1059
278	3079	1048
279	3089	1037
280	3100	1026
281	3111	1014
282	3122	1004
283	3133	993
284	3145	982
285	3155	970
286	3167	960
287	3177	948
288	3187	937
289	3197	926
290	3208	915
291	3220	904
292	3232	893
293	3245	883
294	3258	872
295	3268	861
296	3280	850
297	3291	839
298	3302	828
299	3312	817
300	3324	806
301	3334	795
302	3344	783
303	3355	772
304	3366	761
305	3377	750
306	3388	739
307	3400	728
308	3411	717
309	3423	706
310	3435	695
311	3445	684
312	3454	673
313	3468	662
314	3479	651
315	3490	640
316	3502	629
317	3513	618
318	3524	607
319	3534	596
320	3546	585
321	3556	574
322	3564	562
323	3575	551
324	3586	540
325	3597	529
326	3607	518
327	3617	507
328	3627	496
329	3637	484
330	3648	473
331	3657	462
332	3667	451
333	3678	440
334	3688	429
335	3700	418
336	3713	407
337	3723	396
338	3734	385
339	3744	374
340	3758	363
341	3768	352
342	3778	341
343	3787	330
344	3797	319
345	3809	308
346	3821	297
347	3832	286
348	3842	275
349	3855	264
350	3867	253
351	3878	242
352	3890	231
353	3901	220
354	3912	209
355	3925	198
356	3938	187
357	3950	176
358	3961	165
359	3972	154
360	3983	143
361	3993	132
362	4003	121
363	4014	110
364	4027	99
365	4038	88
366	4049	77
367	4060	66
368	4070	55
369	4078	44
370	4087	33
371	4096	22
372	4123	11
373	4134	0
